Station,Region,Cyanophage,Prochlorococcus,Synechococcus
Eilat_RNA_12,RS,1.01810204677,401.033377223,55.9079527054
Eilat_RNA_18,RS,1.80643921215,229.699703728,439.723227693
Eilat_RNA_24,RS,1.18474791713,526.773965355,36.0975769803
Eilat_RNA_6,RS,6.23157998276,110.278631281,487.231304079
Eilat_gDNA_12,RS,66.1055166685,73.4039640137,2.44188407206
Eilat_gDNA_18,RS,19.9333632151,107.788521668,4.58056712196
Eilat_gDNA_24,RS,19.6858949922,141.915301551,6.83737932332
Eilat_gDNA_6,RS,64.5724531349,89.7898234424,4.07478169511
Eilat_vDNA_12,RS,37.1656494765,0.623284924446,0.244915262312
Eilat_vDNA_18,RS,54.3080396922,0.68563089079,0.195382091969
Eilat_vDNA_24,RS,75.8303764384,0.810537340251,0.179644363008
Eilat_vDNA_6,RS,33.3111470979,0.276721939982,0.202849274615
TARA_004,NAO,354.294775066,379.127038794,27.4206096369
TARA_007,MS,261.397031321,73.3889778222,31.6936558566
TARA_009,MS,216.388560239,176.282931707,59.6408326914
TARA_018,MS,931.628076436,541.935589949,7.91175341519
TARA_022,MS,74.9432693338,0.42502205803,0.555692173107
TARA_023,MS,83.7722040139,119.499480742,53.1153016705
TARA_025,MS,367.006980901,365.975040669,91.1890104093
TARA_030,MS,81.6034170037,324.975495758,67.4883918624
TARA_031,RS,822.272086813,445.137011775,23.1582815942
TARA_032,RS,1563.89908414,686.967730186,23.7212239103
TARA_033,RS,294.651723761,149.071196861,105.207275981
TARA_034,RS,2187.31353517,104.060487258,68.2077410517
TARA_036,IO,2632.78723195,15.5530292653,115.458740804
TARA_037,IO,27.6173374492,2.74716197998,1.50169163637
TARA_038,IO,2536.83328786,270.866729415,144.517629992
TARA_039,IO,1771.97916467,93.6285783037,33.873475082
TARA_041,IO,2337.30557385,436.354546675,14.789850252
TARA_042,IO,2079.76204093,364.597787022,8.70105516114
TARA_045,IO,120.54860545,571.739216744,8.94274403229
TARA_046,IO,162.440721723,0.306051422173,0.12788140189
TARA_048,IO,349.725456379,541.167717749,6.19110127006
TARA_052,IO,725.608314502,270.074802726,7.19488011711
TARA_056,IO,567.940807382,209.363147371,4.71948976315
TARA_057,IO,124.883209737,117.004576204,45.247028829
TARA_058,IO,201.158255092,135.605906691,5.95358600877
TARA_062,IO,578.394286353,126.060529067,8.47555269485
TARA_064,IO,1011.93730236,738.267145708,105.096403913
TARA_065,IO,1308.57743879,91.792010465,99.1412148528
TARA_066,SAO,125.943520522,50.1030311778,11.5332217684
TARA_067,SAO,44.119557449,3.98761380861,16.5021325432
TARA_068,SAO,394.722326509,1156.57382035,103.932395414
TARA_070,SAO,178.62466351,200.507994353,12.6853390048
TARA_072,SAO,2100.5552943,461.309700863,4.76028214643
TARA_076,SAO,492.710143195,714.128081527,16.6731696802
TARA_078,SAO,417.234902916,1045.84115607,47.4219078093
TARA_082,SAO,3.81477218918,9.41480465669,4.65236369556
TARA_084,SO,0.795318614739,3.8659224688,2.09035459504
TARA_085,SO,6.21246398599,9.80956297808,4.30778699078
TARA_093,SPO,15.5359348336,15.0346039929,27.7592368937
TARA_094,SPO,16.8225807601,62.6585054526,2.91476100631
TARA_096,SPO,0.409557360958,70.8930216629,2.04135356356
TARA_098,SPO,219.689333909,460.879920272,3.58949955856
TARA_099,SPO,12.2373132955,166.61320609,0.870421185133
TARA_100,SPO,751.118344368,221.665756953,6.24006784654
TARA_102,SPO,496.880439261,163.657617713,13.7181168355
TARA_109,SPO,1306.36529278,102.974749547,13.9829586513
TARA_110,SPO,259.528189815,59.1812031944,3.90582749962
TARA_111,SPO,853.060336067,102.072213509,3.89153942256
TARA_112,SPO,169.213613171,280.280657641,1.5858968259
TARA_122,SPO,1282.70330521,252.932284443,14.746859094
TARA_123,SPO,508.837669271,45.9642428803,54.2385465076
TARA_124,SPO,853.88443821,86.4833553134,217.175481956
TARA_125,SPO,487.328993015,46.449210349,42.4505194011
TARA_128,SPO,56.4320644518,28.2860000033,1.94265193592
TARA_132,NPO,457.06977076,242.734721068,1.43114593283
TARA_133,NPO,180.148947579,98.3412817037,7.88782242072
TARA_137,NPO,537.68262147,42.6957266845,8.12612965474
TARA_138,NPO,759.459422871,214.961683198,2.33103649944
TARA_140,NPO,164.984845262,68.5502782639,28.1664349153
TARA_141,NAO,31.8846005355,26.2829422174,70.5799984272
TARA_142,NAO,65.1856210557,159.766425937,33.0150138065
TARA_145,NAO,6.12298360165,2.21446333949,9.31292881137
TARA_146,NAO,3.99153401558,15.3695081142,11.8970167631
TARA_148,NAO,9.6158552347,26.5307126187,23.2775937915
TARA_148b,NAO,2.82357132394,0.520765153258,0.32792342905
TARA_149,NAO,6.50830078305,11.8747110933,13.8578297936
TARA_150,NAO,169.499140808,162.382131718,10.401067159
TARA_151,NAO,97.8298881872,75.7141851344,4.92177439024
TARA_152,NAO,91.9414220738,92.4747430633,15.801292091
