Station,Region,MGII,MGII_virus
Eilat_RNA_12,RS,110.865729476,0.011929864426
Eilat_RNA_18,RS,107.400731762,0.0220921557517
Eilat_RNA_24,RS,187.923986633,0.0294364067913
Eilat_RNA_6,RS,146.4016687,0.0164426163181
Eilat_gDNA_12,RS,168.318963308,1.10615882445
Eilat_gDNA_18,RS,105.26837479,0.875181305471
Eilat_gDNA_24,RS,66.3113784649,1.36104640013
Eilat_gDNA_6,RS,116.07489235,1.53556286528
Eilat_vDNA_12,RS,0.517454316802,20.1521162658
Eilat_vDNA_18,RS,0.392055943863,35.2563809453
Eilat_vDNA_24,RS,0.314208087406,39.1730388084
Eilat_vDNA_6,RS,0.318103947032,18.6253593652
TARA_004,NAO,38.8335065362,0.297638330776
TARA_007,MS,17.1414271917,2.74911364246
TARA_009,MS,54.0338731042,0.533549725764
TARA_018,MS,107.823461525,11.0100862098
TARA_022,MS,0.24931909875,12.2870215672
TARA_023,MS,28.8384256742,4.58005454064
TARA_025,MS,17.9737018093,5.68407444096
TARA_030,MS,6.81953046276,1.56510437546
TARA_031,RS,190.601313913,20.3665357575
TARA_032,RS,356.40384021,14.1167135823
TARA_033,RS,123.735710089,0.565287593872
TARA_034,RS,230.100246797,58.6088078557
TARA_036,IO,83.3667880082,31.4607266337
TARA_037,IO,5.57650356264,0.541501408498
TARA_038,IO,139.390226475,127.405751121
TARA_039,IO,42.5586023051,153.108876383
TARA_041,IO,171.082151263,112.842857387
TARA_042,IO,188.726168409,58.2883788106
TARA_045,IO,42.2880538634,0.11061622815
TARA_046,IO,0.752889093583,61.2311491864
TARA_048,IO,119.149363003,4.1900548853
TARA_052,IO,202.840794809,17.6270723469
TARA_056,IO,120.410191805,14.2123688562
TARA_057,IO,76.4298250585,0.24994141656
TARA_058,IO,72.6373955101,0.31629691268
TARA_062,IO,104.88771497,18.7846233241
TARA_064,IO,689.500476099,43.3045168968
TARA_065,IO,410.363856541,130.359000938
TARA_066,SAO,65.9733999894,41.3966616243
TARA_067,SAO,5.82354062033,6.72030388336
TARA_068,SAO,231.766313294,41.4788311549
TARA_070,SAO,253.994563333,114.885446485
TARA_072,SAO,208.590011322,34.7710076955
TARA_076,SAO,242.840304124,19.1353878951
TARA_078,SAO,174.918718378,21.4764092948
TARA_082,SAO,14.2091701948,0.888368768573
TARA_084,SO,0.805386312773,0.00273115248559
TARA_085,SO,25.2437136912,0.386557418266
TARA_093,SPO,0.451174399626,0.163842192241
TARA_094,SPO,0.420443692627,0.0104598827643
TARA_096,SPO,2.35148693891,0.00259832532472
TARA_098,SPO,97.2851512046,0.0917681667213
TARA_099,SPO,7.69742761315,0.0198118373835
TARA_100,SPO,67.8332752939,14.9418532694
TARA_102,SPO,101.567330733,5.63928438742
TARA_109,SPO,181.421693583,91.3591210838
TARA_110,SPO,96.8301794806,0.834676465367
TARA_111,SPO,88.7577354622,18.191153652
TARA_112,SPO,55.9226112431,0.224311309323
TARA_122,SPO,413.819143663,11.2870661993
TARA_123,SPO,287.875253174,19.6764667727
TARA_124,SPO,684.631080288,53.3903947421
TARA_125,SPO,654.105489454,20.7425769796
TARA_128,SPO,198.560088752,0.995302368679
TARA_132,NPO,69.3948430281,0.203449375312
TARA_133,NPO,41.7267816168,0.502044382176
TARA_137,NPO,53.9092435665,7.21910591628
TARA_138,NPO,83.949818196,7.93760171546
TARA_140,NPO,23.8497161497,0.762831037584
TARA_141,NAO,8.41701429576,0.958404073653
TARA_142,NAO,232.520894313,0.904037173145
TARA_145,NAO,34.6494965839,0.093242885713
TARA_146,NAO,59.8491408896,0.490030925798
TARA_148,NAO,50.241473157,0.502680004337
TARA_148b,NAO,20.5246172566,0.0803298836562
TARA_149,NAO,52.7295211296,2.03736105557
TARA_150,NAO,45.4742145611,3.20591254429
TARA_151,NAO,56.8123581345,1.20443994372
TARA_152,NAO,43.3071828851,0.808654021281
