Station,Region,SAR11,SAR11_Phage
Eilat_RNA_12,RS,150.773720557,0.0793431393669
Eilat_RNA_18,RS,231.527036107,0.0563846870439
Eilat_RNA_24,RS,107.219812549,0.0633018707069
Eilat_RNA_6,RS,72.7771440459,0.0590442109907
Eilat_gDNA_12,RS,24.1719239201,0.506805862956
Eilat_gDNA_18,RS,20.7348302963,0.415264558311
Eilat_gDNA_24,RS,18.0774065882,0.41125877904
Eilat_gDNA_6,RS,15.6224861922,0.579593097584
Eilat_vDNA_12,RS,0.616297966101,52.941049823
Eilat_vDNA_18,RS,0.0752413114645,121.180790558
Eilat_vDNA_24,RS,0.0774177487514,45.7546710625
Eilat_vDNA_6,RS,0.103190278181,31.8279853955
TARA_004,NAO,315.537399487,4.70512553424
TARA_007,MS,172.259930443,4.44314724029
TARA_009,MS,341.018702819,6.37263299333
TARA_018,MS,212.363160033,374.436698044
TARA_022,MS,1.29407842363,344.019631421
TARA_023,MS,270.319214589,201.500479197
TARA_025,MS,217.520874314,288.557224038
TARA_030,MS,315.907797858,204.708437672
TARA_031,RS,103.892233161,73.7417067812
TARA_032,RS,231.493484574,62.1150742696
TARA_033,RS,212.424627687,1.32045227124
TARA_034,RS,253.678271624,58.9533458352
TARA_036,IO,505.835485373,55.3352599976
TARA_037,IO,15.0798851002,1.99944066948
TARA_038,IO,396.699881973,172.017482608
TARA_039,IO,79.1072814013,160.988901954
TARA_041,IO,226.128865931,94.1916140205
TARA_042,IO,244.231210714,42.0442913056
TARA_045,IO,114.091062718,0.593133669679
TARA_046,IO,0.14712864917,12.4137880053
TARA_048,IO,91.3269198943,13.6063942392
TARA_052,IO,184.079863385,28.3279892318
TARA_056,IO,74.0219512492,24.3837759785
TARA_057,IO,61.180005857,0.351546146536
TARA_058,IO,76.1388623744,0.675749889959
TARA_062,IO,72.0771186548,21.3006890629
TARA_064,IO,315.743016588,69.0217759433
TARA_065,IO,416.510388799,146.917032248
TARA_066,SAO,524.186202288,109.946784798
TARA_067,SAO,360.88563507,304.127686671
TARA_068,SAO,498.587322981,194.247904267
TARA_070,SAO,233.372708451,81.0384667203
TARA_072,SAO,186.577191793,159.675080531
TARA_076,SAO,263.800568109,128.354544712
TARA_078,SAO,497.115935954,64.0142062778
TARA_082,SAO,628.800991808,166.247818466
TARA_084,SO,245.583725996,1.71738125691
TARA_085,SO,682.718085781,42.5218734266
TARA_093,SPO,263.029066285,6.41713428101
TARA_094,SPO,106.491213524,1.92155560277
TARA_096,SPO,45.8342643577,0.132868241826
TARA_098,SPO,143.861071693,1.13511345722
TARA_099,SPO,29.7515574354,0.284550718194
TARA_100,SPO,340.117211777,618.637121223
TARA_102,SPO,532.575549483,117.295771407
TARA_109,SPO,438.463995036,272.070276303
TARA_110,SPO,200.516412813,2.84734285526
TARA_111,SPO,121.453918315,1051.30899662
TARA_112,SPO,49.9228937388,0.725877247548
TARA_122,SPO,337.839229059,219.612174844
TARA_123,SPO,257.252653195,111.195925806
TARA_124,SPO,625.180916192,255.994814603
TARA_125,SPO,535.994405446,156.887638919
TARA_128,SPO,95.573977137,0.749027148141
TARA_132,NPO,69.8103326395,2.25268500714
TARA_133,NPO,189.594752181,12.1319920531
TARA_137,NPO,167.043462183,112.48567619
TARA_138,NPO,106.260034712,59.1052975939
TARA_140,NPO,70.4536152093,0.967838964666
TARA_141,NAO,74.7650815634,2.45302881078
TARA_142,NAO,114.423130182,0.624369101485
TARA_145,NAO,88.141291875,1.71505485467
TARA_146,NAO,59.9244645131,0.397594063079
TARA_148,NAO,49.3935292304,0.399347305225
TARA_148b,NAO,15.6853199512,0.172423841381
TARA_149,NAO,69.6277003596,0.591120365245
TARA_150,NAO,131.392644771,2.43043848918
TARA_151,NAO,137.976693827,3.20276401062
TARA_152,NAO,153.091735542,4.64728379464
