Station,Region,Fraction,SAR11,SAR11_Phage
Eilat_RNA_12,RS,RNA,150.773720557,0.0793431393669
Eilat_RNA_18,RS,RNA,231.527036107,0.0563846870439
Eilat_RNA_24,RS,RNA,107.219812549,0.0633018707069
Eilat_RNA_6,RS,RNA,72.7771440459,0.0590442109907
Eilat_gDNA_12,RS,BACT,24.1719239201,0.506805862956
Eilat_gDNA_18,RS,BACT,20.7348302963,0.415264558311
Eilat_gDNA_24,RS,BACT,18.0774065882,0.41125877904
Eilat_gDNA_6,RS,BACT,15.6224861922,0.579593097584
Eilat_vDNA_12,RS,VIRUS,0.616297966101,52.941049823
Eilat_vDNA_18,RS,VIRUS,0.0752413114645,121.180790558
Eilat_vDNA_24,RS,VIRUS,0.0774177487514,45.7546710625
Eilat_vDNA_6,RS,VIRUS,0.103190278181,31.8279853955
TARA_004,NAO,BACT,315.537399487,4.70512553424
TARA_007,MS,BACT,172.259930443,4.44314724029
TARA_009,MS,BACT,341.018702819,6.37263299333
TARA_018,MS,BACT,210.680398469,11.1226071093
TARA_018,MS,VIRUS,1.68276156425,363.314090935
TARA_022,MS,VIRUS,1.29407842363,344.019631421
TARA_023,MS,BACT,270.199511243,26.4351950299
TARA_023,MS,VIRUS,0.119703346889,175.065284167
TARA_025,MS,BACT,217.244791495,30.0813207966
TARA_025,MS,VIRUS,0.27608281915,258.475903242
TARA_030,MS,BACT,315.394995992,24.7511907116
TARA_030,MS,VIRUS,0.51280186548,179.95724696
TARA_031,RS,BACT,100.443014477,3.55964876259
TARA_031,RS,VIRUS,3.44921868409,70.1820580187
TARA_032,RS,BACT,228.9476713,10.3609501442
TARA_032,RS,VIRUS,2.54581327381,51.7541241254
TARA_033,RS,BACT,212.424627687,1.32045227124
TARA_034,RS,BACT,245.641885732,3.22508009437
TARA_034,RS,VIRUS,8.03638589213,55.7282657408
TARA_036,IO,BACT,499.458449281,10.2695583462
TARA_036,IO,VIRUS,6.37703609136,45.0657016514
TARA_037,IO,BACT,8.97239084302,0.0550941942061
TARA_037,IO,VIRUS,6.10749425713,1.94434647528
TARA_038,IO,BACT,392.940499185,11.860023167
TARA_038,IO,VIRUS,3.75938278713,160.157459441
TARA_039,IO,BACT,75.7750317719,2.83352060965
TARA_039,IO,VIRUS,3.33224962941,158.155381344
TARA_041,IO,BACT,223.042720614,5.29706759375
TARA_041,IO,VIRUS,3.08614531675,88.8945464267
TARA_042,IO,BACT,243.220786605,2.74396013066
TARA_042,IO,VIRUS,1.01042410871,39.3003311749
TARA_045,IO,BACT,114.091062718,0.593133669679
TARA_046,IO,VIRUS,0.14712864917,12.4137880053
TARA_048,IO,BACT,90.7471383048,0.55224515876
TARA_048,IO,VIRUS,0.579781589502,13.0541490804
TARA_052,IO,BACT,184.044578418,4.35692309015
TARA_052,IO,VIRUS,0.0352849670592,23.9710661417
TARA_056,IO,BACT,71.6376825119,0.583940206197
TARA_056,IO,VIRUS,2.3842687373,23.7998357723
TARA_057,IO,BACT,61.180005857,0.351546146536
TARA_058,IO,BACT,76.1388623744,0.675749889959
TARA_062,IO,BACT,72.0217176007,0.554610555581
TARA_062,IO,VIRUS,0.0554010540609,20.7460785074
TARA_064,IO,BACT,313.971242615,1.98988224331
TARA_064,IO,VIRUS,1.77177397358,67.0318937
TARA_065,IO,BACT,408.342541389,2.08006806071
TARA_065,IO,VIRUS,8.16784740982,144.836964187
TARA_066,SAO,BACT,523.470280429,4.01669966706
TARA_066,SAO,VIRUS,0.715921859439,105.930085131
TARA_067,SAO,BACT,360.690742873,21.142369369
TARA_067,SAO,VIRUS,0.194892197256,282.985317302
TARA_068,SAO,BACT,497.991811121,12.0859040486
TARA_068,SAO,VIRUS,0.59551186015,182.162000218
TARA_070,SAO,BACT,232.662574971,3.61605922702
TARA_070,SAO,VIRUS,0.710133480925,77.4224074933
TARA_072,SAO,BACT,185.561599434,12.7886891317
TARA_072,SAO,VIRUS,1.01559235861,146.886391399
TARA_076,SAO,BACT,262.665642746,13.7490935974
TARA_076,SAO,VIRUS,1.13492536351,114.605451115
TARA_078,SAO,BACT,496.529909543,5.36873513771
TARA_078,SAO,VIRUS,0.586026410617,58.6454711401
TARA_082,SAO,BACT,628.657384353,4.59800845494
TARA_082,SAO,VIRUS,0.143607454433,161.649810011
TARA_084,SO,BACT,245.583725996,1.71738125691
TARA_085,SO,BACT,679.473316953,2.52332280174
TARA_085,SO,VIRUS,3.24476882791,39.9985506249
TARA_093,SPO,BACT,263.029066285,6.41713428101
TARA_094,SPO,BACT,106.491213524,1.92155560277
TARA_096,SPO,BACT,45.8342643577,0.132868241826
TARA_098,SPO,BACT,143.861071693,1.13511345722
TARA_099,SPO,BACT,29.7515574354,0.284550718194
TARA_100,SPO,BACT,339.791018207,10.7752685575
TARA_100,SPO,VIRUS,0.326193570039,607.861852665
TARA_102,SPO,BACT,532.372457101,23.2193654941
TARA_102,SPO,VIRUS,0.203092382354,94.0764059128
TARA_109,SPO,BACT,436.8694512,5.01949211961
TARA_109,SPO,VIRUS,1.5945438358,267.050784183
TARA_110,SPO,BACT,200.516412813,2.84734285526
TARA_111,SPO,BACT,119.305376646,6.420137829
TARA_111,SPO,VIRUS,2.14854166934,1044.88885879
TARA_112,SPO,BACT,49.9228937388,0.725877247548
TARA_122,SPO,BACT,330.199169114,8.4540288668
TARA_122,SPO,VIRUS,7.64005994533,211.158145978
TARA_123,SPO,BACT,254.923248724,5.02093658381
TARA_123,SPO,VIRUS,2.32940447134,106.174989223
TARA_124,SPO,BACT,615.019189498,9.37976844223
TARA_124,SPO,VIRUS,10.1617266938,246.61504616
TARA_125,SPO,BACT,528.685374925,7.60217435608
TARA_125,SPO,VIRUS,7.30903052118,149.285464563
TARA_128,SPO,BACT,95.573977137,0.749027148141
TARA_132,NPO,BACT,69.8103326395,2.25268500714
TARA_133,NPO,BACT,189.594752181,12.1319920531
TARA_137,NPO,BACT,166.939384603,1.52809366454
TARA_137,NPO,VIRUS,0.104077579193,110.957582525
TARA_138,NPO,BACT,106.185635011,1.0443978862
TARA_138,NPO,VIRUS,0.0743997010853,58.0608997077
TARA_140,NPO,BACT,70.4536152093,0.967838964666
TARA_141,NAO,BACT,74.7650815634,2.45302881078
TARA_142,NAO,BACT,114.423130182,0.624369101485
TARA_145,NAO,BACT,88.141291875,1.71505485467
TARA_146,NAO,BACT,59.9244645131,0.397594063079
TARA_148,NAO,BACT,49.3935292304,0.399347305225
TARA_148b,NAO,BACT,15.6853199512,0.172423841381
TARA_149,NAO,BACT,69.6277003596,0.591120365245
TARA_150,NAO,BACT,131.392644771,2.43043848918
TARA_151,NAO,BACT,137.976693827,3.20276401062
TARA_152,NAO,BACT,153.091735542,4.64728379464
